group,xatc_total_m,nphot_total,data_mb,n_granules,xatc_water,pct_xatc_water,depth_90pctl,elev_mean,log_qual_mean,doy_mean
total,12242399594.047,170970668602.0,31454944.515785217,11304.0,4060240.0,0.03316539350646858,12.365078696700575,1034.8086420809852,1.1926574120724434,204.75236321970783
CE,984594052.426,25281148521.0,3115250.7829818726,902.0,163665.0,0.016622586699232646,11.965936707765737,1349.6946524919072,1.0615939520762394,202.0081300813008
CW,823758924.592,8372162561.0,1551389.0197486877,532.0,729565.0,0.08856535306872051,12.596209984711717,1164.7307336862668,1.3623223689497477,198.81948424068767
NE,2769507754.537,39612491655.0,6408843.2043886185,2245.0,973640.0,0.03515570586162777,11.794349684342867,871.1316043615739,1.1499869822838271,210.9062103929024
NO,3306320679.938,38812435147.0,12591953.160255432,4930.0,678015.0,0.020506631559184214,11.33041309447485,778.4330210129717,1.1575557621674961,206.01472868217056
NW,2128533469.836,31017401293.0,4572172.6926698685,1486.0,697925.0,0.03278900754394874,15.940343636406624,880.2441779277985,1.2547831187489125,211.1158940397351
SE,714137146.249,14939606125.0,1579615.436717987,646.0,12240.0,0.001713956494812027,9.598808752742036,1095.409967726461,0.9888665588975784,204.05263157894737
SW,1515547566.469,12935423300.0,1635720.2190227509,563.0,805190.0,0.05312865249594064,9.278767024682438,1393.759448740166,1.1348299136064302,196.64256198347107
2019,2259660614.714,31033211136.0,5198777.606711388,2083.0,1106410.0,0.04896354756973253,14.077946493643159,1119.6643401831197,1.2470963930227688,200.17773892773891
2020,2522612648.88,32082707309.0,6029417.925368309,2329.0,739925.0,0.029331693089246776,12.501604009053981,985.1398249066176,1.1922201042843885,200.1601763409258
2021,2457306941.366,39032148966.0,7222612.5417432785,2283.0,816595.0,0.03323129830683913,10.871455502423354,1024.4477817161933,1.2136566683652876,208.32993197278913
2022,2506307943.279,34586370422.0,6593100.565668106,2305.0,650765.0,0.02596508548540946,12.107857033800144,971.9015803498361,1.1141477436069305,210.18112889637743
2023,2496511445.808,34236230769.0,6411035.876294136,2304.0,746545.0,0.029903528031227568,11.537022675847476,1044.3343065378522,1.1682182728952522,206.67307692307693
