FID_;ID;LAT;LON;New_Greenl;Old_Greenl;Foreign_na;Official_n;Alternativ;RGI_ID;GLIMS_ID;RGI_LON;RGI_LAT;Type
;GGN0001;60.116599999999998;-43.369999999999997;Sermeq Kujalleq;Sermeq Kujatdleq; ;Sermeq Kujalleq; ;RGI40-05.04361;G316578E60159N;-43.421700000000001;60.159300000000002;LGIC
;GGN0002;60.134900000000002;-43.512500000000003;Sermeq Avannarleq;Sermeq Avangnardleq; ;Sermeq Avannarleq; ;RGI40-05.04363;G316482E60158N;-43.518200000000000;60.158400000000000;LGIC
;GGN0003;60.162700000000001;-43.727800000000002;Sermikasik Avannarleq;Sermikasik Avangnardleq; ;Sermikasik Avannarleq; ;RGI40-05.04356;G316285E60178N;-43.715400000000002;60.177900000000001;LGIC
;GGN0004;60.163899999999998;-43.703800000000001;Sermikasik Kujalleq;Sermikasik Kujatdleq; ;Sermikasik Kujalleq; ;RGI40-05.04356;G316285E60178N;-43.715400000000002;60.177900000000001;LGIC
;GGN0005;60.217100000000002;-43.337000000000003;Sermeq Avannarleq;Sermeq Avangnardleq; ;Sermeq Avannarleq; ;RGI40-05.04332;G316577E60220N;-43.422899999999998;60.219900000000003;LGIC
;GGN0006;60.235199999999999;-43.264400000000002;Sermeq Qeqqarleq;Sermeq Qerqardleq; ;Sermeq Qeqqarleq; ;RGI40-05.04331;G316702E60261N;-43.298000000000002;60.261299999999999;LGIC
;GGN0007;60.250500000000002;-43.244500000000002;Sermeq Kujalleq;Sermeq Kujatdleq; ;Sermeq Kujalleq; ;RGI40-05.04331;G316702E60261N;-43.298000000000002;60.261299999999999;LGIC
;GGN0008;60.309800000000003;-43.948000000000000;Paarliit Sermiat; ; ;Paarliit Sermiat;Paarliit Sermia;RGI40-05.04309;G316193E60315N;-43.806600000000003;60.315100000000001;LGIC
;GGN0009;60.311399999999999;-45.273600000000002; ; ;Napasorsuaq Gletsjer;Napasorsuaq Gletsjer; ;RGI40-05.03779;G314725E60307N;-45.274900000000002;60.307400000000001;LGIC
;GGN0010;60.347900000000003;-44.109299999999998;Sermikasik; ; ;Sermikasik; ;RGI40-05.03889;G315849E60344N;-44.151299999999999;60.343600000000002;LGIC
;GGN0011;60.409700000000001;-44.127200000000002;Qinngorliit Sermiat; ; ;Qinngorliit Sermiat;Qinngerliit Sermiat;RGI40-05.04288;G315830E60462N;-44.169899999999998;60.462200000000003;LGIC
;GGN0012;60.531900000000000;-44.425600000000003;Sermitsiaq;Sermitsiaq; ;Sermitsiaq; ;RGI40-05.04052;G315652E60546N;-44.348199999999999;60.545499999999997;LGIC
;GGN0013;60.568600000000004;-44.463600000000000;Sermersuasik; ; ;Sermersuasik; ;RGI40-05.04143;G315572E60586N;-44.428100000000001;60.586399999999998;LGIC
;GGN0014;60.702199999999998;-45.237499999999997;Sermitsiaq Killeq;Sermitsiaq Kitdleq; ;Sermitsiaq Killeq; ;RGI40-05.04402;G314767E60701N;-45.233300000000000;60.700800000000001;LGIC
;GGN0015;60.716500000000003;-45.207000000000001;Sermitsiaq Kangilleq;Sermitsiaq Kangigdleq; ;Sermitsiaq Kangilleq; ;RGI40-05.04310;G314796E60715N;-45.204400000000000;60.714500000000001;LGIC
;GGN0016;60.797699999999999;-44.490200000000002;Sermeq;Sermeq; ;Sermeq; ; ; ;0.000000000000000;0.000000000000000;GrIS
;GGN0017;60.859800000000000;-44.876399999999997;Siorallip Sermia;Sioragdlip Sermia; ;Siorallip Sermia; ; ; ;0.000000000000000;0.000000000000000;GrIS
;GGN0018;60.966700000000003;-44.916699999999999;Sermeq Kangilleq;Sermeq Kangigdleq; ;Sermeq Kangilleq; ; ; ;0.000000000000000;0.000000000000000;GrIS
;GGN0019;60.983300000000000;-45.016700000000000; ; ;Jespersen Bræ;Jespersen Bræ; ; ; ;0.000000000000000;0.000000000000000;GrIS
;GGN0020;60.984499999999997;-46.986300000000000;Sermilik; ;Sermilik Bræ;Sermilik; ; ; ;0.000000000000000;0.000000000000000;GrIS
;GGN0021;60.993800000000000;-45.907899999999998; ; ;Narsaq Bræ;Narsaq Bræ; ;RGI40-05.04721;G314094E60995N;-45.905799999999999;60.995399999999997;LGIC
;GGN0022;61.008800000000001;-46.686000000000000;Qalerallit Sermiat;Qaleragdlit Sermiat; ;Qalerallit Sermiat; ; ; ;0.000000000000000;0.000000000000000;GrIS
;GGN0023;61.037300000000002;-46.581200000000003;Naajat Sermiat;Naujat Sermiat; ;Naajat Sermiat; ; ; ;0.000000000000000;0.000000000000000;GrIS
;GGN0024;61.049999999999997;-47.666699999999999; ; ;Nordre Qipisaqqu Bræ;Nordre Qipisaqqu Bræ; ; ; ;0.000000000000000;0.000000000000000;GrIS
;GGN0025;61.049999999999997;-47.500000000000000; ; ;Søndre Qipisaqqu Bræ;Søndre Qipisaqqu Bræ; ; ; ;0.000000000000000;0.000000000000000;GrIS
;GGN0026;61.090000000000003;-46.418399999999998;Ilorliit;Ilordlît; ;Ilorliit; ; ; ;0.000000000000000;0.000000000000000;GrIS
;GGN0027;61.094999999999999;-46.317100000000003;Serminnguaq;Sermínguaq; ;Serminnguaq; ; ; ;0.000000000000000;0.000000000000000;GrIS
;GGN0028;61.145200000000003;-47.742400000000004; ; ;Søndre Qoornoq Bræ;Søndre Qoornoq Bræ; ; ; ;0.000000000000000;0.000000000000000;GrIS
;GGN0029;61.191200000000002;-47.718100000000000; ; ;Nordre Qoornoq Bræ;Nordre Qoornoq Bræ; ; ; ;0.000000000000000;0.000000000000000;GrIS
;GGN0030;61.214900000000000;-48.451200000000000; ; ;Storebræ;Storebræ; ;RGI40-05.04997;G311549E61209N;-48.451099999999997;61.209099999999999;LGIC
;GGN0031;61.215699999999998;-48.430900000000001; ; ;Nordre Hængebræ;Nordre Hængebræ; ;RGI40-05.04989;G311571E61214N;-48.428600000000003;61.214399999999998;LGIC
